2026-06-03 22:30:39.471484 | INFO     | pid=175140 tid=5364 | component=ui role=main | PacsClient.pacs.workstation_ui.home_ui.patient_table_widget._load_column_settings | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=- stage=- result=- | Loading column settings from: E:\ai-pacs\ai-pacs codes\ai-pacs beta version\config\patient_table_columns.json
2026-06-03 22:30:39.473109 | INFO     | pid=175140 tid=5364 | component=ui role=main | PacsClient.pacs.workstation_ui.home_ui.patient_table_widget._load_column_settings | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=- stage=- result=- | Settings loaded: {'column_order': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], 'column_visibility': {'0': True, '1': True, '2': True, '3': True, '4': True, '5': True, '6': True, '7': True, '8': True, '9': True, '10': True, '11': True, '12': False}, 'column_widths': {'0': 50, '1': 160, '2': 100, '3': 100, '4': 150, '5': 170, '6': 60, '7': 80, '8': 100, '9': 70, '10': 80, '11': 60, '12': 126}}
2026-06-03 22:30:39.473981 | INFO     | pid=175140 tid=5364 | component=ui role=main | PacsClient.pacs.workstation_ui.home_ui.patient_table_widget._load_saved_settings | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=- stage=- result=- | Loading column settings: order=True, visibility=True, widths=True
2026-06-03 22:30:39.474466 | INFO     | pid=175140 tid=5364 | component=ui role=main | PacsClient.pacs.workstation_ui.home_ui.patient_table_widget._apply_column_settings | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=- stage=- result=- | Applying visibility settings for 13 columns
2026-06-03 22:30:39.475121 | INFO     | pid=175140 tid=5364 | component=ui role=main | PacsClient.pacs.workstation_ui.home_ui.patient_table_widget._apply_column_settings | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=- stage=- result=- | Applying column order for 13 columns
2026-06-03 22:30:39.475589 | INFO     | pid=175140 tid=5364 | component=ui role=main | PacsClient.pacs.workstation_ui.home_ui.patient_table_widget._apply_column_settings | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=- stage=- result=- | Applying width settings for 13 columns
2026-06-03 22:30:39.476040 | INFO     | pid=175140 tid=5364 | component=ui role=main | PacsClient.pacs.workstation_ui.home_ui.patient_table_widget._apply_column_settings | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=- stage=- result=- | Column settings applied successfully
2026-06-03 22:30:39.864549 | WARNING  | pid=175140 tid=196892 | component=viewer role=main | aipacs.main_thread_probe._f11_sampler | action=- study=- series=- job=- viewevt=- fn=- stage=- result=- | [MAIN_THREAD_STALL_TRACE] gap_ms=1455.5 drag_active=False frames=13 stack=File "E:\ai-pacs\ai-pacs codes\ai-pacs beta version\main.py", line 1497, in <module> |     loop.run_forever() >> File "E:\ai-pacs\ai-pacs codes\ai-pacs beta version\.venv\Lib\site-packages\qasync\__init__.py", line 404, in run_forever |     rslt = self.__app.exec() >> File "E:\ai-pacs\ai-pacs codes\ai-pacs beta version\main.py", line 907, in notify |     return super().notify(receiver, event) >> File "E:\ai-pacs\ai-pacs codes\ai-pacs beta version\main.py", line 907, in notify |     return super().notify(receiver, event) >> File "E:\ai-pacs\ai-pacs codes\ai-pacs beta version\PacsClient\app_handler.py", line 987, in _open_main_window |     self.main_page = MainWindowWidget( >> File "E:\ai-pacs\ai-pacs codes\ai-pacs beta version\PacsClient\pacs\workstation_ui\mainwindow_ui.py", line 115, in __init__ |     self.add_AIPacs_tab() >> File "E:\ai-pacs\ai-pacs codes\ai-pacs beta version\PacsClient\pacs\workstation_ui\mainwindow_ui.py", line 1016, in add_AIPacs_tab |     self.control_panel = ControlPanelInterface(tab_widget=self.tab_widget, host_window=self) >> File "E:\ai-pacs\ai-pacs codes\ai-pacs beta version\PacsClient\pacs\workstation_ui\AIPacs_ui.py", line 51, in __init__ |     self.ui.setupUi() >> File "E:\ai-pacs\ai-pacs codes\ai-pacs beta version\PacsClient\pacs\workstation_ui\AIPacs_ui.py", line 632, in setupUi |     self.home_widget = home_ui.HomePanelWidget( >> File "E:\ai-pacs\ai-pacs codes\ai-pacs beta version\PacsClient\pacs\workstation_ui\home_ui\home_panel\widget.py", line 221, in __init__ |     self.apply_theme(self._active_theme) >> File "E:\ai-pacs\ai-pacs codes\ai-pacs beta version\PacsClient\pacs\workstation_ui\home_ui\home_panel\_hp_layout.py", line 694, in apply_theme |     self.patient_search_widget.apply_theme(t) >> File "E:\ai-pacs\ai-pacs codes\ai-pacs beta version\PacsClient\pacs\workstation_ui\home_ui\patient_search_widget.py", line 618, in apply_theme |     self.search_group.setStyleSheet( >> File "E:\ai-pacs\ai-pacs codes\ai-pacs beta version\main.py", line 907, in notify |     return super().notify(receiver, event)
2026-06-03 22:30:40.010747 | INFO     | pid=175140 tid=5364 | component=other role=main | modules.EchoMind.secretary.registry.register | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=- stage=- result=- | AdapterRegistry.register: adapter=system actions=4 total_actions=4
2026-06-03 22:30:40.011339 | INFO     | pid=175140 tid=5364 | component=other role=main | modules.EchoMind.secretary.registry.register | action=sess-68b7d748a091 study=- series=- job=- viewevt=- fn=- stage=- result=- | AdapterRegistry.register: adapter=home actions=3 total_actions=7
